"Endpoint","Site","Strain","EC50","SE","Lower_95CI","Upper_95CI","RR","Note"
"Knockdown 60 mins","AIRID","Covè",NA,NA,NA,NA,NA,"Excluded from analysis. 50% effect threshold not reached"
"Knockdown 60 mins","AIRID","Kisumu",0.007,0.001,0.004,0.009,NA,""
"Knockdown 60 mins","KEMRI","Kisumu",0.044,0.007,0.031,0.057,NA,""
"Knockdown 60 mins","KEMRI","Siaya",0.148,0.019,0.111,0.185,3.39,""
"Knockdown 60 mins","LSTM","KDR",0.146,0.101,-0.052,0.345,2.79,""
"Knockdown 60 mins","LSTM","Kisumu",0.052,0.01,0.034,0.071,NA,""
"Knockdown 60 mins","LSTM","Siaya",0.06,0.08,-0.095,0.216,1.15,""
"Knockdown 60 mins","LSTM","Tiassale",0.126,0.098,-0.066,0.319,NA,""
"Mortality 24 hours","AIRID","Covè",NA,NA,NA,NA,NA,"Excluded from analysis. 50% effect threshold not reached"
"Mortality 24 hours","AIRID","Kisumu",0.03,0.005,0.02,0.039,NA,""
"Mortality 24 hours","KEMRI","Kisumu",0.023,0.004,0.016,0.03,NA,""
"Mortality 24 hours","KEMRI","Siaya",0.13,0.019,0.094,0.167,5.62,""
"Mortality 24 hours","LSTM","KDR",0.359,0.079,0.204,0.513,6.58,""
"Mortality 24 hours","LSTM","Kisumu",0.054,0.009,0.036,0.073,NA,""
"Mortality 24 hours","LSTM","Siaya",0.048,0.008,0.032,0.065,0.89,""
"Mortality 24 hours","LSTM","Tiassale",0.3,0.054,0.194,0.407,NA,""
